t=2026-01-27T14:41:31+0100 lvl=info msg="no configuration paths supplied"
t=2026-01-27T14:41:31+0100 lvl=info msg="using configuration at default config path" path=/home/ubuntu/.config/ngrok/ngrok.yml
t=2026-01-27T14:41:31+0100 lvl=info msg="open config file" path=/home/ubuntu/.config/ngrok/ngrok.yml err=nil
t=2026-01-27T14:41:31+0100 lvl=info msg="FIPS 140 mode" enabled=false
t=2026-01-27T14:41:31+0100 lvl=info msg="starting web service" obj=web addr=127.0.0.1:4040 allow_hosts=[]
t=2026-01-27T14:41:31+0100 lvl=info msg="client session established" obj=tunnels.session
t=2026-01-27T14:41:31+0100 lvl=info msg="tunnel session started" obj=tunnels.session
t=2026-01-27T14:41:31+0100 lvl=info msg="started tunnel" obj=tunnels name=command_line addr=http://localhost:3001 url=https://connotatively-galvanic-chana.ngrok-free.dev
t=2026-01-27T14:41:32+0100 lvl=info msg="join connections" obj=join id=f0e1fdab3581 l=[::1]:3001 r=196.127.186.153:58914
t=2026-01-27T14:41:32+0100 lvl=info msg="join connections" obj=join id=7054f0b1c27c l=[::1]:3001 r=196.127.186.153:58915
t=2026-01-27T14:41:34+0100 lvl=info msg="join connections" obj=join id=2f929592e7a0 l=[::1]:3001 r=196.127.186.153:58915
t=2026-01-27T14:41:35+0100 lvl=info msg="join connections" obj=join id=61bb1fc78a1d l=[::1]:3001 r=196.127.186.153:58915
t=2026-01-27T14:41:35+0100 lvl=info msg="join connections" obj=join id=d412c295aad4 l=[::1]:3001 r=196.127.186.153:58915
t=2026-01-27T14:41:35+0100 lvl=info msg="join connections" obj=join id=ebcf7ffc3677 l=[::1]:3001 r=196.127.186.153:58915
t=2026-01-27T14:41:35+0100 lvl=info msg="join connections" obj=join id=cf9067656af1 l=[::1]:3001 r=196.127.186.153:58915
t=2026-01-27T14:41:35+0100 lvl=info msg="join connections" obj=join id=d3b9fe4cc358 l=[::1]:3001 r=196.127.186.153:58915
t=2026-01-27T14:41:35+0100 lvl=info msg="join connections" obj=join id=24f85bc06b4c l=[::1]:3001 r=196.127.186.153:58915
t=2026-01-27T14:41:35+0100 lvl=info msg="join connections" obj=join id=33a4b9653981 l=[::1]:3001 r=196.127.186.153:58915
t=2026-01-27T14:41:35+0100 lvl=info msg="join connections" obj=join id=dbbfe6b119cb l=[::1]:3001 r=196.127.186.153:58915
t=2026-01-27T14:41:35+0100 lvl=info msg="join connections" obj=join id=4d78e50e9cc8 l=[::1]:3001 r=196.127.186.153:58915
t=2026-01-27T14:41:35+0100 lvl=info msg="join connections" obj=join id=46498e74f0ee l=[::1]:3001 r=196.127.186.153:58915
t=2026-01-27T14:41:35+0100 lvl=info msg="join connections" obj=join id=fa5018f4ea5f l=[::1]:3001 r=196.127.186.153:58915
t=2026-01-27T14:41:35+0100 lvl=info msg="join connections" obj=join id=5227512808bb l=[::1]:3001 r=196.127.186.153:58915
t=2026-01-27T14:41:35+0100 lvl=info msg="join connections" obj=join id=90275acfa784 l=[::1]:3001 r=196.127.186.153:58930
t=2026-01-27T14:41:35+0100 lvl=info msg="join connections" obj=join id=ed031761e4cc l=[::1]:3001 r=196.127.186.153:58915
t=2026-01-27T14:41:36+0100 lvl=info msg="join connections" obj=join id=b1426477950e l=[::1]:3001 r=196.127.186.153:58915
t=2026-01-27T14:41:38+0100 lvl=info msg=start pg=/api/tunnels id=bd295e4d626093cd
t=2026-01-27T14:41:38+0100 lvl=info msg=end pg=/api/tunnels id=bd295e4d626093cd status=200 dur=361.269µs
t=2026-01-27T14:41:51+0100 lvl=info msg="join connections" obj=join id=978aa19d51b5 l=[::1]:3001 r=196.127.186.153:58997
t=2026-01-27T14:41:51+0100 lvl=info msg="join connections" obj=join id=9b944065d4f2 l=[::1]:3001 r=196.127.186.153:58997
t=2026-01-27T14:41:51+0100 lvl=info msg="join connections" obj=join id=26e2f13237fe l=[::1]:3001 r=196.127.186.153:58997
t=2026-01-27T14:41:51+0100 lvl=info msg="join connections" obj=join id=e2f21ea7c6d8 l=[::1]:3001 r=196.127.186.153:58997
t=2026-01-27T14:41:51+0100 lvl=info msg="join connections" obj=join id=d530b8a2a58a l=[::1]:3001 r=196.127.186.153:58997
t=2026-01-27T14:41:51+0100 lvl=info msg="join connections" obj=join id=6248330ecab0 l=[::1]:3001 r=196.127.186.153:58997
t=2026-01-27T14:41:51+0100 lvl=info msg="join connections" obj=join id=e989250aca3a l=[::1]:3001 r=196.127.186.153:58997
t=2026-01-27T14:41:51+0100 lvl=info msg="join connections" obj=join id=e31d3476322b l=[::1]:3001 r=196.127.186.153:58997
t=2026-01-27T14:41:51+0100 lvl=info msg="join connections" obj=join id=54a8179b2b54 l=[::1]:3001 r=196.127.186.153:58997
t=2026-01-27T14:41:51+0100 lvl=info msg="join connections" obj=join id=7f01c103dcb4 l=[::1]:3001 r=196.127.186.153:58997
t=2026-01-27T14:41:51+0100 lvl=info msg="join connections" obj=join id=4377e68449a7 l=[::1]:3001 r=196.127.186.153:58997
t=2026-01-27T14:41:51+0100 lvl=info msg="join connections" obj=join id=2af98a012809 l=[::1]:3001 r=196.127.186.153:58997
t=2026-01-27T14:41:51+0100 lvl=info msg="join connections" obj=join id=00529ed1bd13 l=[::1]:3001 r=196.127.186.153:58997
t=2026-01-27T14:41:51+0100 lvl=info msg="join connections" obj=join id=b1d1748aa32d l=[::1]:3001 r=196.127.186.153:58997
t=2026-01-27T14:41:51+0100 lvl=info msg="join connections" obj=join id=859b9bb21b55 l=[::1]:3001 r=196.127.186.153:58997
t=2026-01-27T14:41:51+0100 lvl=info msg="join connections" obj=join id=957d17fa0942 l=[::1]:3001 r=196.127.186.153:58997
t=2026-01-27T14:41:51+0100 lvl=info msg="join connections" obj=join id=e287222ab061 l=[::1]:3001 r=196.127.186.153:58997
t=2026-01-27T14:41:51+0100 lvl=info msg="join connections" obj=join id=2fa40d0ff663 l=[::1]:3001 r=196.127.186.153:58997
t=2026-01-27T14:41:51+0100 lvl=info msg="join connections" obj=join id=fdc16104f2f0 l=[::1]:3001 r=196.127.186.153:58997
t=2026-01-27T14:41:51+0100 lvl=info msg="join connections" obj=join id=97d1c30f0be2 l=[::1]:3001 r=196.127.186.153:58997
t=2026-01-27T14:41:51+0100 lvl=info msg="join connections" obj=join id=b8c3b4458872 l=[::1]:3001 r=196.127.186.153:58997
t=2026-01-27T14:41:51+0100 lvl=info msg="join connections" obj=join id=28ebf3a6365f l=[::1]:3001 r=196.127.186.153:58997
t=2026-01-27T14:41:51+0100 lvl=info msg="join connections" obj=join id=414bd97ef1f0 l=[::1]:3001 r=196.127.186.153:58997
t=2026-01-27T14:41:51+0100 lvl=info msg="join connections" obj=join id=f5cd2c6a3912 l=[::1]:3001 r=196.127.186.153:58997
t=2026-01-27T14:41:51+0100 lvl=info msg="join connections" obj=join id=19fb0041146d l=[::1]:3001 r=196.127.186.153:58997
t=2026-01-27T14:41:51+0100 lvl=info msg="join connections" obj=join id=03d9b3ef7709 l=[::1]:3001 r=196.127.186.153:58997
t=2026-01-27T14:41:52+0100 lvl=info msg="join connections" obj=join id=46974f610cd3 l=[::1]:3001 r=196.127.186.153:58997
t=2026-01-27T14:41:53+0100 lvl=info msg="join connections" obj=join id=242e1da7127c l=[::1]:3001 r=196.127.186.153:58997
t=2026-01-27T14:41:53+0100 lvl=info msg="join connections" obj=join id=d46b92af75fe l=[::1]:3001 r=196.127.186.153:58997
t=2026-01-27T14:41:53+0100 lvl=info msg="join connections" obj=join id=e6cbebcad2bb l=[::1]:3001 r=196.127.186.153:58997
t=2026-01-27T14:41:53+0100 lvl=info msg="join connections" obj=join id=74b0728959cd l=[::1]:3001 r=196.127.186.153:59002
t=2026-01-27T14:41:53+0100 lvl=info msg="join connections" obj=join id=762bdba68b0b l=[::1]:3001 r=196.127.186.153:58997
t=2026-01-27T14:41:53+0100 lvl=info msg="join connections" obj=join id=d3d8205f18f7 l=[::1]:3001 r=196.127.186.153:58997
t=2026-01-27T14:41:53+0100 lvl=info msg="join connections" obj=join id=4e8e078f9064 l=[::1]:3001 r=196.127.186.153:58997
t=2026-01-27T14:43:13+0100 lvl=info msg="join connections" obj=join id=c23fa9de2aa5 l=[::1]:3001 r=196.127.186.153:58997
t=2026-01-27T14:43:13+0100 lvl=info msg="join connections" obj=join id=33107e355fab l=[::1]:3001 r=196.127.186.153:58997
t=2026-01-27T14:43:13+0100 lvl=info msg="join connections" obj=join id=a93462ccc1eb l=[::1]:3001 r=196.127.186.153:58997
t=2026-01-27T14:43:13+0100 lvl=info msg="join connections" obj=join id=7d457978b311 l=[::1]:3001 r=196.127.186.153:58997
